"lorde::lewd";"wei::lewd"
"hee::informed";"hee::intelligences"
"hee::informed";"hee::serious"
"hee::intelligences";"hee::serious"
"nominatiuo::intelligence";"nominatiuo::solemne"
"diomed::intelligencers";"nestor::intelligencers"
"corinthian::shrewde";"dionisius::shrewde"
"corinthian::intelligencer";"dionisius::intelligencer"
"adams::certainely";"adams::perfection"
"adams::certainely";"destinie::certainely"
"adams::certainely";"destinie::perfection"
"adams::perfection";"destinie::certainely"
"adams::perfection";"destinie::perfection"
"destinie::certainely";"destinie::perfection"
"geraldine::wise";"katherine_dowager::wise"
"esse::#-ostentation";"esse::assured"
"esse::#-ostentation";"esse::ceremonies"
"esse::#-ostentation";"esse::certaintie)"
"esse::#-ostentation";"esse::learned"
"esse::#-ostentation";"esse::thorough"
"esse::#-ostentation";"tully::#-ostentation"
"esse::#-ostentation";"tully::assured"
"esse::#-ostentation";"tully::ceremonies"
"esse::#-ostentation";"tully::certaintie)"
"esse::#-ostentation";"tully::learned"
"esse::#-ostentation";"tully::thorough"
"esse::assured";"esse::ceremonies"
"esse::assured";"esse::certaintie)"
"esse::assured";"esse::learned"
"esse::assured";"esse::thorough"
"esse::assured";"tully::#-ostentation"
"esse::assured";"tully::assured"
"esse::assured";"tully::ceremonies"
"esse::assured";"tully::certaintie)"
"esse::assured";"tully::learned"
"esse::assured";"tully::thorough"
"esse::ceremonies";"esse::certaintie)"
"esse::ceremonies";"esse::learned"
"esse::ceremonies";"esse::thorough"
"esse::ceremonies";"tully::#-ostentation"
"esse::ceremonies";"tully::assured"
"esse::ceremonies";"tully::ceremonies"
"esse::ceremonies";"tully::certaintie)"
"esse::ceremonies";"tully::learned"
"esse::ceremonies";"tully::thorough"
"esse::certaintie)";"esse::learned"
"esse::certaintie)";"esse::thorough"
"esse::certaintie)";"tully::#-ostentation"
"esse::certaintie)";"tully::assured"
"esse::certaintie)";"tully::ceremonies"
"esse::certaintie)";"tully::certaintie)"
"esse::certaintie)";"tully::learned"
"esse::certaintie)";"tully::thorough"
"esse::learned";"esse::thorough"
"esse::learned";"tully::#-ostentation"
"esse::learned";"tully::assured"
"esse::learned";"tully::ceremonies"
"esse::learned";"tully::certaintie)"
"esse::learned";"tully::learned"
"esse::learned";"tully::thorough"
"esse::thorough";"tully::#-ostentation"
"esse::thorough";"tully::assured"
"esse::thorough";"tully::ceremonies"
"esse::thorough";"tully::certaintie)"
"esse::thorough";"tully::learned"
"esse::thorough";"tully::thorough"
"tully::#-ostentation";"tully::assured"
"tully::#-ostentation";"tully::ceremonies"
"tully::#-ostentation";"tully::certaintie)"
"tully::#-ostentation";"tully::learned"
"tully::#-ostentation";"tully::thorough"
"tully::assured";"tully::ceremonies"
"tully::assured";"tully::certaintie)"
"tully::assured";"tully::learned"
"tully::assured";"tully::thorough"
"tully::ceremonies";"tully::certaintie)"
"tully::ceremonies";"tully::learned"
"tully::ceremonies";"tully::thorough"
"tully::certaintie)";"tully::learned"
"tully::certaintie)";"tully::thorough"
"tully::learned";"tully::thorough"
"duke::bountifully";"wittenberg::bountifully"
"tully::eloquent";"tully::vaine"
"queene::pleasant";"scoto::pleasant"
"cornelius_agrippa::destruction";"thomas_moore::destruction"
"cromwell::wilde";"henrie::wilde"
"cromwell::wilde";"lorde::wilde"
"henrie::wilde";"lorde::wilde"
"charles::reasonable";"emperour::reasonable"
"charles::reasonable";"gedeon::reasonable"
"emperour::reasonable";"gedeon::reasonable"
"geraldine::wise";"lorde::wise"
"cornelius_agrippa::curtesie";"cornelius_agrippa::eloquently"
"cornelius_agrippa::curtesie";"cornelius_agrippa::gentleman"
