"terms";"clusters"
"active";35
"affectionate";25
"agreeable";24
"amiable";25
"anxious";8
"awkward";9
"bitter";38
"calm";29
"candid";18
"capable";7
"careful";48
"cautious";49
"certain";21
"cheerful";16
"civil";59
"clever";2
"cold";54
"compassionate";57
"confident";41
"considerate";51
"constant";8
"critical";37
"cruel";32
"cunning";38
"deceitful";30
"deep";11
"dependent";1
"determined";58
"dignified";60
"direct";55
"distant";14
"dull";22
"eager";34
"earnest";7
"elegant";53
"enthusiastic";3
"excessive";42
"expressive";19
"extravagant";57
"fearful";15
"fervent";40
"firm";49
"foolish";17
"formal";20
"frank";13
"friendly";14
"generous";17
"genteel";37
"gentle";46
"gentlemanlike";28
"gloomy";51
"graceful";20
"gracious";20
"hardened";38
"hasty";31
"honest";29
"ignorant";45
"illiterate";49
"immovable";43
"impatient";5
"impertinent";48
"independent";33
"indifferent";47
"inexperienced";9
"intimate";36
"invariable";2
"irritable";43
"jealous";56
"kind";27
"languid";40
"lively";33
"loud";12
"manly";9
"maternal";3
"musical";19
"narrow";44
"natural";21
"nervous";51
"noisy";37
"observant";50
"particular";6
"pleasant";14
"polite";20
"productive";28
"proper";25
"proud";31
"prudent";36
"quick";58
"quiet";16
"rational";40
"reasonable";5
"restless";52
"rude";56
"selfish";33
"serious";8
"severe";39
"shy";20
"silent";6
"simple";27
"sincere";47
"slow";41
"smart";42
"solemn";4
"solicitous";50
"speedy";10
"spiritless";55
"steady";40
"stubborn";57
"thorough";26
"thoughtful";50
"undiscerning";57
"unfeeling";23
"ungracious";18
"unkind";51
"unobtrusive";51
"unprincipled";11
"vain";60
"violent";27
"warm";5
"tender";23
"zealous";50
"wild";19
"unreserved";43
"worldly";55
"spirited";12
"wise";37
