"terms";"clusters"
"#-bold";91
"#-pleasant";119
"#-slow";56
"#-unreasonable";141
"#-violent";91
"abrupt";140
"accomplished";85
"accurate";20
"active";114
"affected";10
"affectionate";142
"agreeable";134
"aloof";55
"ambitious";122
"amiable";80
"amorous";130
"anxious";112
"arbitrary";78
"assured";22
"audacious";136
"awkward";133
"bashful";132
"benevolent";26
"bitter";31
"boisterous";9
"bold";143
"boyish";49
"brave";36
"bright";7
"brisk";72
"brutal";94
"calm";42
"capable";75
"careful";142
"careless";70
"cautious";101
"certain";139
"charitable";94
"chaste";59
"cheerful";96
"childish";5
"circumspect";53
"civil";63
"clever";123
"coarse";17
"coherent";44
"cold";90
"communicative";45
"complacent";140
"complicated";105
"complimentary";52
"conciliatory";60
"concise";128
"confident";133
"confused";114
"considerate";68
"consistent";126
"constant";98
"contented";10
"contradictory";67
"contrary";67
"cool";127
"covetous";103
"cowardly";57
"crafty";4
"critical";65
"cruel";106
"cunning";133
"curious";92
"dainty";103
"deceitful";55
"decisive";117
"deep";90
"dependent";87
"destructive";49
"detached";69
"determined";98
"devilish";91
"devious";105
"dignified";88
"direct";119
"discreet";93
"distant";107
"dogged";67
"dull";25
"dutiful";15
"eager";41
"earnest";42
"efficient";105
"elegant";58
"emphatic";119
"enthusiastic";122
"evasive";145
"exact";75
"excessive";13
"excitable";37
"exclusive";34
"explicit";111
"expressive";86
"facetious";10
"faithful";54
"fearful";28
"feminine";110
"fervent";49
"fierce";66
"firm";99
"foolish";99
"formal";20
"frank";59
"friendly";118
"frolicsome";130
"gallant";89
"generous";16
"genteel";119
"gentle";112
"gloomy";73
"graceful";35
"gracious";138
"greedy";15
"gruff";5
"guileless";26
"hardened";40
"harsh";63
"hasty";113
"haughty";144
"headlong";114
"hearty";77
"heedless";117
"heroic";10
"honest";96
"humane";146
"humble";51
"humorous";64
"ignorant";120
"impartial";59
"impatient";129
"impertinent";115
"impetuous";69
"impious";141
"impudent";10
"independent";135
"industrious";38
"inexhaustible";119
"inflexible";88
"ingenious";6
"inhuman";49
"inquisitive";8
"insecure";20
"insolent";101
"intellectual";47
"intelligent";30
"intense";127
"intimate";65
"intricate";72
"invariable";85
"invincible";14
"inward";83
"ironical";105
"irrepressible";10
"irresolute";36
"irreverent";44
"irritable";62
"jealous";39
"jolly";61
"just";43
"juvenile";20
"kind";18
"languid";72
"lazy";99
"literary";20
"live";124
"lively";95
"loud";3
"magisterial";81
"malicious";19
"mature";49
"meditative";145
"melodramatic";71
"merciful";49
"merry";9
"mild";108
"moderate";84
"modest";135
"moral";65
"murderous";140
"musical";27
"narrow";3
"natural";12
"negative";50
"nervous";97
"noisy";79
"observant";140
"orderly";62
"original";89
"particular";28
"passionate";40
"passive";140
"patient";64
"peaceful";51
"peevish";94
"petty";10
"philosophical";33
"playful";83
"pleasant";116
"polite";138
"political";40
"practical";74
"precise";75
"productive";122
"profane";141
"profound";25
"prompt";109
"proper";73
"prophetic";34
"proud";23
"prudent";121
"quick";3
"quiet";112
"rash";133
"rational";32
"reasonable";121
"rebellious";104
"reckless";53
"reflective";48
"respectful";127
"responsible";24
"restless";55
"rigid";25
"rough";96
"rude";48
"ruthless";140
"scornful";128
"scrupulous";82
"selfish";76
"sensitive";122
"sentimental";117
"serene";48
"serious";129
"severe";136
"shallow";58
"shrewd";2
"silent";11
"simple";29
"slow";137
"sluggish";131
"smart";80
"solemn";116
"speedy";70
"spirited";39
"steady";15
"stern";74
"straightforward";47
"strict";76
"sultry";68
"sunny";51
"surly";1
"suspicious";49
"tender";5
"thoughtful";144
"tidy";38
"tight";125
"timid";56
"treacherous";21
"trustworthy";47
"uncouth";132
"undisguised";91
"unfair";24
"ungovernable";43
"unkind";122
"unmindful";8
"unpolite";38
"unrelenting";64
"vague";48
"vain";131
"vigorous";86
"vindictive";47
"violent";107
"vivid";100
"warm";102
"wild";31
"religious";34
"systematic";20
"stable";24
"womanly";50
"obliging";14
"vivacious";39
"warlike";40
"untidy";38
"zealous";35
"thoughtless";130
"unsentimental";103
"wary";21
"wise";113
"punctual";81
"placid";20
"worldly";74
"wily";46
"thorough";84
"sly";67
"sullen";60
"unguarded";110
"unreasonable";110
"visionary";78
"untiring";101
