"terms";"clusters"
"#-agreeable";85
"#-alone";37
"#-angry";98
"#-lonely";62
"#-open";139
"#-satisfied";91
"#-strong";53
"#-well";44
"active";98
"admirable";40
"affectionate";26
"afraid";77
"aggravating";131
"agreeable";35
"alone";6
"amazing";92
"angry";80
"anxious";130
"appreciative";117
"argumentative";131
"artificial";16
"ashamed";11
"athletic";41
"attentive";122
"attractive";67
"awake";114
"awful";94
"awkward";20
"bad";99
"bashful";31
"beautiful";45
"big";85
"bitter";80
"blind";86
"bold";128
"brave";96
"bright";77
"brilliant";88
"busy";23
"calm";114
"capable";17
"careful";52
"careless";42
"cautious";98
"certain";99
"charming";116
"cheap";91
"cheerful";124
"childish";114
"clean";74
"clever";49
"clumsy";121
"cold";99
"comfortable";83
"comical";16
"compassionate";111
"competent";53
"competitive";132
"complicated";63
"concerned";47
"confident";31
"confused";30
"conscientious";39
"considerate";85
"consistent";118
"cool";110
"crazy";96
"critical";135
"cruel";104
"curious";95
"dangerous";126
"decent";32
"delighted";113
"delightful";81
"dependent";116
"depressed";117
"desirable";49
"determined";23
"devoted";96
"difficult";6
"direct";5
"disabled";51
"disappointed";121
"disrespectful";139
"distinguished";110
"disturbed";2
"dominant";36
"dumb";34
"eager";60
"efficient";9
"elderly";50
"emotional";9
"encouraging";68
"energetic";7
"enthusiastic";7
"evil";70
"excellent";119
"exceptional";132
"excited";119
"exhausted";66
"expressive";15
"extraordinary";94
"fair";24
"faithful";71
"familiar";74
"famous";114
"fat";103
"feminine";82
"fine";4
"firm";75
"foolish";12
"forgetful";48
"fortunate";109
"friendly";27
"furious";50
"generous";81
"gentle";74
"genuine";135
"gifted";82
"glad";77
"gorgeous";82
"graceful";13
"gracious";104
"grateful";83
"greedy";51
"handsome";35
"happy";136
"hard";77
"helpful";63
"helpless";123
"honest";130
"hopeful";126
"ignorant";30
"impatient";115
"important";107
"impressive";114
"independent";19
"influential";58
"innocent";133
"insane";132
"insulting";110
"intellectual";135
"intelligent";108
"interested";59
"interesting";126
"involved";132
"irresponsible";9
"irritating";56
"jealous";84
"kind";34
"lazy";39
"liberal";103
"lively";76
"logical";97
"lonely";15
"lonesome";44
"loud";129
"lovely";107
"lucky";114
"mean";134
"modest";38
"moody";92
"motherly";50
"muscular";55
"natural";57
"neat";33
"negative";37
"nervous";113
"nice";123
"noisy";49
"normal";138
"obnoxious";72
"observant";49
"offensive";8
"open";79
"ordinary";36
"original";62
"passionate";61
"pathetic";91
"patient";84
"peaceful";46
"persistent";92
"persuasive";66
"plain";3
"playful";72
"pleasant";57
"pleased";76
"polite";89
"poor";79
"popular";18
"positive";29
"powerful";89
"practical";138
"preoccupied";9
"presentable";66
"pretty";125
"private";136
"professional";70
"prominent";109
"proper";138
"prosperous";10
"proud";69
"punctual";13
"quiet";99
"reasonable";51
"rebellious";101
"reckless";65
"reliable";139
"religious";127
"remarkable";102
"respectable";14
"respected";2
"respectful";26
"responsible";17
"rich";43
"ridiculous";27
"romantic";88
"rough";59
"rude";14
"sad";22
"sarcastic";98
"satisfied";76
"scared";127
"secure";20
"sensible";89
"sensitive";106
"serious";64
"shallow";132
"short";99
"shy";48
"sincere";16
"sleepy";107
"slender";100
"smart";28
"social";73
"spontaneous";37
"stable";62
"strange";77
"strict";21
"strong";99
"stupid";1
"successful";87
"surprised";43
"suspicious";120
"sweet";102
"sympathetic";128
"talkative";90
"tall";54
"terrible";78
"thankful";84
"thin";137
"thoughtful";1
"tired";1
"tough";127
"troubled";112
"uncomfortable";95
"unfair";117
"unfaithful";25
"unhappy";75
"unreasonable";21
"unusual";121
"useful";58
"valuable";62
"violent";102
"warm";78
"weak";124
"weird";105
"well";5
"wise";67
"wonderful";95
"worthy";87
"young";79
"skilled";7
"terrific";93
"unlucky";132
"sociable";41
"youthful";117
"unemployed";91
