"terms";"clusters"
"#-beautiful";7
"#-fancy";46
"#-humble";29
"#-worth";40
"accomplished";45
"accustomed";4
"afraid";44
"amusing";46
"beautiful";4
"calm";13
"capable";2
"capital";12
"careful";11
"cheerful";39
"clever";35
"comfortable";10
"compassionate";15
"compliance";46
"confident";7
"creative";19
"curious";5
"dangerous";7
"daring";41
"delicate";34
"delighted";21
"delightful";39
"determined";23
"direct";6
"entertaining";31
"entitled";47
"exciting";37
"expensive";45
"extraordinary";3
"extreme";25
"fair";36
"faithful";30
"familiar";27
"famous";22
"fancy";51
"fascinating";13
"friendly";42
"gentle";26
"genuine";16
"graceful";18
"happier";19
"heavenly";39
"honest";47
"humble";33
"improper";11
"independent";46
"individual";50
"intelligent";7
"interesting";40
"jest";15
"liberal";37
"loose";48
"married";20
"mature";45
"mighty";45
"minded";50
"modest";4
"mysterious";32
"natural";28
"novel";45
"obliged";45
"outrageous";48
"passionate";48
"peaceful";22
"pleasant";43
"polite";17
"powerful";12
"productive";42
"proud";14
"prudent";15
"quiet";5
"reasonable";38
"respected";16
"rich";18
"sacred";27
"safe";49
"shocked";1
"sincere";30
"smart";27
"special";46
"strong";8
"superior";24
"surprising";50
"thoughtful";43
"unpleasant";9
"welcome";20
"worth";51
"weaker";40
"vulnerable";29
"pleasing";12
"secure";11
"social";19
"united";6
"universal";22
"wealthy";9
"uncertain";48
"funny";18
"responsible";13
