"terms";"clusters"
"#-afraid";73
"#-bad";3
"#-bold";5
"#-dangerous";17
"#-fair";55
"#-good";80
"#-little";35
"#-mean";121
"#-old";54
"#-pleasant";70
"#-strong";98
"#-unreasonable";7
"#-violent";5
"#-weak";53
"accomplished";58
"active";11
"affectionate";29
"afraid";10
"agreeable";51
"alone";82
"ambitious";97
"amusing";7
"angry";51
"annoying";78
"anxious";125
"appealing";42
"artificial";48
"ashamed";87
"attentive";58
"attractive";78
"awake";112
"awful";29
"awkward";38
"bad";116
"bashful";80
"beautiful";81
"big";39
"bitter";57
"blind";115
"bold";84
"brave";28
"bright";88
"brilliant";100
"busy";61
"calm";90
"capable";97
"careful";65
"careless";52
"cautious";106
"certain";125
"cheap";103
"cheerful";12
"childish";101
"clean";95
"clever";19
"cold";77
"comfortable";74
"comical";98
"complicated";7
"confident";27
"confused";105
"considerate";106
"consistent";16
"cool";108
"crazy";9
"critical";80
"cruel";1
"curious";49
"dangerous";37
"decent";5
"delighted";30
"delightful";42
"dependent";85
"desirable";26
"determined";35
"difficult";49
"direct";41
"disappointed";99
"distinguished";62
"dumb";63
"eager";76
"effective";86
"efficient";7
"elderly";79
"encouraged";30
"encouraging";96
"enthusiastic";60
"evil";30
"excellent";115
"excited";14
"exciting";104
"exhausted";108
"experienced";103
"expressive";124
"extraordinary";76
"fair";100
"faithful";79
"familiar";89
"famous";55
"fat";22
"feminine";54
"fine";91
"firm";37
"foolish";105
"fortunate";44
"friendly";119
"frightening";36
"funny";6
"furious";50
"generous";93
"gentle";116
"genuine";111
"glad";125
"graceful";110
"gracious";8
"grateful";18
"greedy";23
"handsome";34
"happy";2
"hard";4
"harmless";67
"healthy";85
"helpless";61
"homeless";56
"honest";112
"hopeful";53
"humiliated";5
"humorous";28
"ignorant";60
"impatient";33
"important";75
"impressive";44
"independent";15
"innocent";102
"insecure";5
"insulting";36
"intellectual";27
"intelligent";98
"interested";63
"interesting";69
"involved";114
"irritable";92
"jealous";46
"joyful";56
"kind";31
"lazy";105
"liberal";48
"lively";25
"lonely";88
"loud";83
"lovely";57
"lucky";72
"mature";42
"mean";110
"modest";68
"motherly";94
"muscular";78
"natural";123
"neat";118
"negative";106
"nervous";29
"nice";74
"noisy";117
"observant";48
"offensive";38
"open";10
"ordinary";90
"original";120
"outstanding";54
"passionate";113
"patient";121
"peaceful";112
"plain";24
"playful";53
"pleasant";12
"pleased";34
"pleasing";96
"polite";66
"poor";77
"positive";73
"powerful";9
"practical";32
"pretty";75
"private";69
"productive";97
"professional";71
"prompt";99
"proper";24
"proud";61
"punctual";17
"quiet";116
"reasonable";63
"rebellious";27
"reckless";54
"religious";101
"remarkable";13
"respectable";69
"respected";16
"respectful";22
"responsible";36
"rich";91
"ridiculous";56
"rough";91
"rude";117
"sad";45
"satisfied";109
"secure";114
"selfish";97
"sensitive";60
"sentimental";96
"serious";115
"shallow";67
"short";77
"skinny";70
"sleepy";108
"slim";46
"smart";40
"stable";110
"straightforward";20
"strange";10
"strict";97
"strong";2
"stupid";57
"successful";17
"surprised";25
"suspicious";58
"sweet";4
"tall";49
"terrible";74
"terrific";52
"thankful";47
"thin";64
"thorough";110
"thoughtful";21
"thoughtless";20
"tired";1
"troubled";22
"trustworthy";121
"uncomfortable";122
"unemployed";38
"unfair";62
"unhappy";35
"unreasonable";7
"unusual";25
"useful";33
"valuable";122
"violent";82
"warm";107
"weak";43
"wealthy";94
"well";21
"wise";59
"wonderful";66
"worthy";83
"youthful";65
