"root_node_id" "tag"
"1" "capable"
"1" "cheerful"
"1" "comfortable"
"1" "independent"
"1" "legal"
"1" "liberal"
"1" "minded"
"1" "respected"
"1" "selfish"
"1" "strong"
"2" "clever"
"2" "fair"
"2" "generous"
"2" "interesting"
"2" "prudent"
"3" "different"
"3" "quiet"
"3" "worth"
"4" "best"
"4" "pleasant"
"4" "unpleasant"
"5" "greatest"
"5" "natural"
"5" "pleasing"
"5" "rich"
"5" "superior"
"6" "afraid"
"6" "beautiful"
"6" "happy"
"7" "delicate"
"8" "calm"
"8" "delightful"
"8" "friendly"
"8" "reasonable"
"8" "secure"
"10" NA
"10" "10"
"11" "neat"
"11" "wise"
"12" "graceful"
"12" "polite"
"13" "smart"
"15" "extraordinary"
"15" "safe"
"16" NA
"16" "16"
"17" "familiar"
"17" "threatening"
"19" "sincere"
"20" "delighted"
"20" "gentle"
"21" NA
"21" "21"
"22" "careful"
"23" "dangerous"
"24" "direct"
"24" "faithful"
"24" "married"
"24" "stable"
"25" "standing"
"26" "uncertain"
"27" "happier"
"31" "welcome"
"32" "mighty"
"36" "famous"
"36" "loose"
"36" "novel"
"38" "free"
"38" "irregular"
"38" "tidy"
"40" "expensive"
"40" "fancy"
"40" "fascinating"
"41" "determined"
"46" "enthusiastic"
"47" "playful"
"47" "united"
"48" "accomplished"
"48" "newer"
"48" "productive"
"49" "amusing"
"49" "cautious"
"49" "curious"
"50" "proud"
"51" "compassionate"
"56" "modest"
"56" "powerful"
"57" NA
"57" "57"
"61" "thoughtful"
"62" "mysterious"
"63" "extreme"
"69" "cruel"
"69" "humble"
"72" "wealthy"
"76" "confident"
"76" "passionate"
"76" "sympathy"
"76" "tenderness"
"77" "encouraged"
"80" "individual"
"81" "#-married"
"81" "exciting"
"84" "universal"
"86" NA
"86" "86"
"89" "intelligent"
"92" "suited"
"94" "modesty"
"94" "surprising"
"96" NA
"96" "96"
"100" "harmless"
"100" "honest"
"105" NA
"105" "105"
"112" "genuine"
"112" "unfair"
"112" "weak"
"113" "shocked"
"117" "#-quiet"
"118" "encouraging"
"122" "blessed"
"123" "original"
"124" "spontaneous"
"128" NA
"128" "128"
"138" "appropriate"
"139" "sacred"
"141" NA
"141" "141"
