"terms";"clusters"
"#-afraid";3
"#-agreeable";99
"#-angry";93
"#-beautiful";126
"#-capable";141
"#-cheerful";13
"#-difficult";91
"#-good";46
"#-happy";98
"#-little";28
"#-loud";80
"#-mean";34
"#-old";7
"#-pretty";103
"#-proud";93
"#-satisfied";45
"#-tired";68
"#-young";19
"abusive";141
"accomplished";126
"active";11
"admirable";62
"adventurous";85
"affectionate";96
"afraid";9
"aggravating";133
"agreeable";67
"alone";83
"amazing";62
"ambitious";103
"amusing";94
"angry";136
"anxious";61
"appealing";138
"argumentative";2
"arrogant";107
"artificial";22
"artistic";141
"ashamed";81
"attentive";111
"attractive";48
"average";104
"awake";78
"awful";72
"awkward";11
"bad";65
"bashful";130
"beautiful";65
"big";35
"bitter";114
"blind";115
"bold";72
"bored";19
"brave";121
"bright";65
"brilliant";124
"busy";137
"calm";96
"capable";50
"careful";24
"careless";6
"casual";22
"certain";97
"charming";102
"cheap";53
"cheerful";77
"childish";12
"chubby";70
"clean";54
"clever";25
"clumsy";19
"cold";61
"comfortable";64
"comical";55
"compassionate";37
"competent";28
"complicated";118
"conceited";26
"concerned";121
"confident";50
"confused";113
"confusing";13
"conscientious";116
"considerate";95
"consistent";129
"cool";53
"corrupt";23
"courageous";94
"cranky";15
"crazy";28
"critical";139
"cruel";81
"curious";89
"dangerous";30
"daring";46
"decent";6
"defensive";116
"delighted";83
"delightful";60
"dependent";107
"depressed";14
"desirable";40
"determined";121
"devoted";113
"difficult";64
"direct";63
"disappointed";47
"disgusting";126
"dishonest";22
"disrespectful";132
"distinguished";51
"disturbed";131
"dominant";3
"dumb";47
"eager";122
"elderly";11
"embarrassed";7
"encouraged";91
"encouraging";46
"entertaining";141
"enthusiastic";88
"evil";113
"excellent";137
"excited";18
"exciting";2
"exhausted";22
"expressive";113
"extraordinary";134
"fair";27
"faithful";25
"familiar";60
"famous";25
"fascinating";1
"fat";43
"feminine";126
"fine";69
"firm";51
"foolish";120
"forgetful";138
"forgiving";131
"fortunate";50
"friendly";60
"furious";38
"generous";54
"gentle";77
"genuine";119
"gifted";127
"glad";9
"good";117
"graceful";124
"gracious";136
"grateful";12
"great";117
"greedy";44
"grumpy";16
"handsome";96
"happy";9
"hard";67
"harmless";44
"healthy";128
"helpful";138
"helpless";95
"honest";72
"hopeful";106
"humorous";3
"ignorant";111
"imaginative";118
"impatient";108
"important";113
"impressive";21
"inconsiderate";20
"independent";128
"inexperienced";50
"influential";116
"innocent";61
"insane";138
"intellectual";127
"interested";125
"interesting";122
"involved";91
"irritable";16
"jealous";17
"joyful";47
"kind";101
"lazy";108
"liberal";131
"lively";76
"logical";75
"lonely";42
"loud";82
"lovely";90
"loving";25
"loyal";135
"lucky";33
"masculine";58
"mature";91
"mean";100
"modest";71
"moody";59
"motherly";79
"natural";101
"neat";36
"needy";48
"negative";57
"neglected";103
"nervous";10
"nice";90
"obnoxious";73
"observant";41
"offensive";56
"open";101
"ordinary";66
"original";106
"outspoken";109
"outstanding";139
"passionate";130
"pathetic";92
"patient";25
"peaceful";8
"plain";96
"playful";7
"pleasant";67
"pleased";134
"pleasing";88
"polite";51
"poor";9
"popular";32
"positive";52
"powerful";55
"practical";71
"presentable";91
"pretty";65
"private";89
"professional";29
"prominent";78
"prompt";5
"proper";37
"prosperous";114
"proud";134
"punctual";30
"quiet";97
"reasonable";53
"rebellious";118
"relaxed";13
"religious";87
"remarkable";76
"respectable";115
"respectful";123
"responsible";58
"rich";4
"ridiculous";86
"romantic";18
"rough";96
"rude";112
"sad";42
"sarcastic";126
"satisfied";140
"scared";84
"secure";49
"selfish";24
"sensible";64
"sensitive";4
"sentimental";129
"serious";96
"shallow";39
"short";9
"shy";110
"sincere";114
"skilled";126
"sleepy";108
"slender";44
"sloppy";80
"smart";127
"social";40
"spoiled";48
"stable";74
"strange";101
"strict";58
"strong";65
"stubborn";3
"stupid";86
"successful";41
"surprised";67
"suspicious";122
"sweet";67
"sympathetic";46
"talkative";142
"tall";106
"terrible";36
"terrific";128
"thankful";125
"thin";76
"thorough";91
"thoughtful";125
"thoughtless";17
"tiny";121
"tired";81
"tough";104
"troubled";105
"trusted";103
"uncomfortable";134
"uneducated";141
"unemployed";127
"unhappy";77
"unlucky";123
"unreasonable";105
"unusual";40
"useful";72
"violent";76
"warm";29
"weak";81
"well";134
"wise";24
"wonderful";134
"worthy";72
"young";117
"valuable";46
"youthful";36
"superstitious";15
"truthful";141
"wasteful";31
"talented";135
