"target" "tag"
"1" 2 "child"
"2" 2 "equal"
"3" 2 "general"
"4" 2 "girl"
"5" 2 "good"
"6" 2 "great"
"7" 2 "handsome"
"8" 2 "it"
"9" 2 "least"
"10" 2 "little"
"11" 2 "make"
"12" 2 "poor"
"13" 2 "pretty"
"14" 2 "thinking"
"15" 2 "well"
"16" 3 "bear"
"17" 3 "better"
"18" 3 "child"
"19" 3 "choice"
"20" 3 "first"
"21" 3 "girl"
"22" 3 "glad"
"23" 3 "good"
"24" 3 "great"
"25" 3 "having"
"26" 3 "important"
"27" 3 "impossible"
"28" 3 "it"
"29" 3 "least"
"30" 3 "little"
"31" 3 "make"
"32" 3 "must"
"33" 3 "old"
"34" 3 "out"
"35" 3 "poor"
"36" 3 "put"
"37" 3 "rank"
"38" 3 "real"
"39" 3 "right"
"40" 3 "serious"
"41" 3 "short"
"42" 3 "still"
"43" 3 "strict"
"44" 3 "sure"
"45" 3 "useful"
"46" 3 "well"
"47" 3 "will"
"48" 4 "better"
"49" 4 "fine"
"50" 4 "girl"
"51" 4 "sanguine"
"52" 4 "well-disposed"
"53" 4 "will"
"54" 5 "able"
"55" 5 "better"
"56" 5 "easy"
"57" 5 "even"
"58" 5 "evil"
"59" 5 "fine"
"60" 5 "first"
"61" 5 "forward"
"62" 5 "generous"
"63" 5 "girl"
"64" 5 "giving"
"65" 5 "good"
"66" 5 "good-humoured"
"67" 5 "handsome"
"68" 5 "happy"
"69" 5 "important"
"70" 5 "increasing"
"71" 5 "it"
"72" 5 "least"
"73" 5 "little"
"74" 5 "make"
"75" 5 "making"
"76" 5 "must"
"77" 5 "natural"
"78" 5 "near"
"79" 5 "nobody"
"80" 5 "old"
"81" 5 "out"
"82" 5 "poor"
"83" 5 "possible"
"84" 5 "pretty"
"85" 5 "put"
"86" 5 "secure"
"87" 5 "small"
"88" 5 "sorry"
"89" 5 "taking"
"90" 5 "untoward"
"91" 5 "vain"
"92" 5 "well"
"93" 5 "wonderful"
"94" 6 "angry"
"95" 6 "best"
"96" 6 "better"
"97" 6 "dear"
"98" 6 "done"
"99" 6 "first"
"100" 6 "frightened"
"101" 6 "girl"
"102" 6 "good"
"103" 6 "great"
"104" 6 "happy"
"105" 6 "having"
"106" 6 "it"
"107" 6 "large"
"108" 6 "least"
"109" 6 "little"
"110" 6 "make"
"111" 6 "morning"
"112" 6 "must"
"113" 6 "out"
"114" 6 "overcome"
"115" 6 "possible"
"116" 6 "right"
"117" 6 "sensible"
"118" 6 "short"
"119" 6 "sooner"
"120" 6 "sorry"
"121" 6 "still"
"122" 6 "sure"
"123" 6 "surprised"
"124" 6 "tried"
"125" 6 "useful"
"126" 6 "whole"
"127" 6 "will"
"128" 7 "affectionate"
"129" 7 "ashamed"
"130" 7 "bad"
"131" 7 "benevolent"
"132" 7 "better"
"133" 7 "child"
"134" 7 "clever"
"135" 7 "common"
"136" 7 "considerate"
"137" 7 "consistent"
"138" 7 "dear"
"139" 7 "desirable"
"140" 7 "done"
"141" 7 "fair"
"142" 7 "first"
"143" 7 "fixed"
"144" 7 "forward"
"145" 7 "full"
"146" 7 "good"
"147" 7 "great"
"148" 7 "important"
"149" 7 "it"
"150" 7 "kind"
"151" 7 "last"
"152" 7 "least"
"153" 7 "likely"
"154" 7 "little"
"155" 7 "make"
"156" 7 "mortified"
"157" 7 "must"
"158" 7 "necessary"
"159" 7 "old"
"160" 7 "poor"
"161" 7 "positive"
"162" 7 "pretty"
"163" 7 "promising"
"164" 7 "proper"
"165" 7 "put"
"166" 7 "sure"
"167" 7 "thinking"
"168" 7 "true"
"169" 7 "wanting"
"170" 7 "well"
"171" 7 "will"
"172" 7 "wonderful"
"173" 7 "young"
"174" 8 "assisting"
"175" 8 "better"
"176" 8 "character"
"177" 8 "clever"
"178" 8 "considerate"
"179" 8 "encouraged"
"180" 8 "even"
"181" 8 "feel"
"182" 8 "forward"
"183" 8 "girl"
"184" 8 "giving"
"185" 8 "good"
"186" 8 "great"
"187" 8 "happy"
"188" 8 "injured"
"189" 8 "it"
"190" 8 "kind"
"191" 8 "last"
"192" 8 "little"
"193" 8 "make"
"194" 8 "must"
"195" 8 "nobody"
"196" 8 "old"
"197" 8 "promising"
"198" 8 "quick"
"199" 8 "read"
"200" 8 "respectable"
"201" 8 "sanguine"
"202" 8 "sensible"
"203" 8 "serious"
"204" 8 "strong"
"205" 8 "tall"
"206" 8 "true"
"207" 8 "useful"
"208" 8 "well"
"209" 9 "able"
"210" 9 "better"
"211" 9 "comfortable"
"212" 9 "considering"
"213" 9 "dear"
"214" 9 "decided"
"215" 9 "even"
"216" 9 "excellent"
"217" 9 "fair"
"218" 9 "feel"
"219" 9 "fellow"
"220" 9 "first"
"221" 9 "girl"
"222" 9 "good"
"223" 9 "great"
"224" 9 "it"
"225" 9 "likely"
"226" 9 "little"
"227" 9 "living"
"228" 9 "make"
"229" 9 "must"
"230" 9 "natural"
"231" 9 "necessary"
"232" 9 "off"
"233" 9 "old"
"234" 9 "possible"
"235" 9 "present"
"236" 9 "proving"
"237" 9 "quitting"
"238" 9 "relieved"
"239" 9 "respectable"
"240" 9 "right"
"241" 9 "settled"
"242" 9 "small"
"243" 9 "sooner"
"244" 9 "sorry"
"245" 9 "sure"
"246" 9 "surprised"
"247" 9 "tried"
"248" 9 "well"
"249" 9 "will"
"250" 10 "absolute"
"251" 10 "better"
"252" 10 "child"
"253" 10 "constant"
"254" 10 "dear"
"255" 10 "feel"
"256" 10 "fixed"
"257" 10 "forward"
"258" 10 "frequent"
"259" 10 "glad"
"260" 10 "good"
"261" 10 "great"
"262" 10 "having"
"263" 10 "important"
"264" 10 "it"
"265" 10 "kind"
"266" 10 "large"
"267" 10 "last"
"268" 10 "likely"
"269" 10 "little"
"270" 10 "live"
"271" 10 "living"
"272" 10 "must"
"273" 10 "natural"
"274" 10 "off"
"275" 10 "old"
"276" 10 "out"
"277" 10 "present"
"278" 10 "rank"
"279" 10 "right"
"280" 10 "sensible"
"281" 10 "settled"
"282" 10 "spare"
"283" 10 "sure"
"284" 10 "sweet"
"285" 10 "taking"
"286" 10 "thinking"
"287" 10 "true"
"288" 10 "trying"
"289" 10 "well"
"290" 10 "will"
"291" 11 "able"
"292" 11 "altered"
"293" 11 "ashamed"
"294" 11 "bad"
"295" 11 "best"
"296" 11 "better"
"297" 11 "character"
"298" 11 "contriving"
"299" 11 "conversation"
"300" 11 "dear"
"301" 11 "done"
"302" 11 "fine"
"303" 11 "forlorn"
"304" 11 "forward"
"305" 11 "friendly"
"306" 11 "girl"
"307" 11 "glad"
"308" 11 "good"
"309" 11 "great"
"310" 11 "having"
"311" 11 "it"
"312" 11 "lay"
"313" 11 "liberal"
"314" 11 "likely"
"315" 11 "little"
"316" 11 "live"
"317" 11 "living"
"318" 11 "main"
"319" 11 "make"
"320" 11 "mistaken"
"321" 11 "must"
"322" 11 "new"
"323" 11 "nobody"
"324" 11 "odd"
"325" 11 "out"
"326" 11 "poor"
"327" 11 "possible"
"328" 11 "put"
"329" 11 "rank"
"330" 11 "seen"
"331" 11 "serviceable"
"332" 11 "settled"
"333" 11 "spare"
"334" 11 "still"
"335" 11 "sure"
"336" 11 "taking"
"337" 11 "unhappy"
"338" 11 "unnecessary"
"339" 11 "wanting"
"340" 11 "well"
"341" 11 "will"
"342" 12 "able"
"343" 12 "bad"
"344" 12 "better"
"345" 12 "conversation"
"346" 12 "dangerous"
"347" 12 "dear"
"348" 12 "difficult"
"349" 12 "done"
"350" 12 "equal"
"351" 12 "expedient"
"352" 12 "gone"
"353" 12 "good"
"354" 12 "handsome"
"355" 12 "interesting"
"356" 12 "it"
"357" 12 "last"
"358" 12 "leaving"
"359" 12 "make"
"360" 12 "morning"
"361" 12 "must"
"362" 12 "out"
"363" 12 "present"
"364" 12 "quitting"
"365" 12 "relieved"
"366" 12 "settled"
"367" 12 "spent"
"368" 12 "ungrateful"
"369" 12 "well"
"370" 13 "absent"
"371" 13 "acquainted"
"372" 13 "affectionate"
"373" 13 "alone"
"374" 13 "assisting"
"375" 13 "astonished"
"376" 13 "better"
"377" 13 "called"
"378" 13 "cheerful"
"379" 13 "comfortable"
"380" 13 "directing"
"381" 13 "done"
"382" 13 "easy"
"383" 13 "even"
"384" 13 "evil"
"385" 13 "fine"
"386" 13 "first"
"387" 13 "free"
"388" 13 "general"
"389" 13 "good"
"390" 13 "great"
"391" 13 "having"
"392" 13 "horse"
"393" 13 "ill"
"394" 13 "indolent"
"395" 13 "it"
"396" 13 "lady"
"397" 13 "large"
"398" 13 "lay"
"399" 13 "light"
"400" 13 "little"
"401" 13 "lowly"
"402" 13 "make"
"403" 13 "making"
"404" 13 "must"
"405" 13 "necessary"
"406" 13 "obliging"
"407" 13 "old"
"408" 13 "particular"
"409" 13 "personal"
"410" 13 "possible"
"411" 13 "read"
"412" 13 "real"
"413" 13 "safe"
"414" 13 "spent"
"415" 13 "sure"
"416" 13 "thinking"
"417" 13 "trying"
"418" 13 "unnecessary"
"419" 13 "unpleasant"
"420" 13 "useful"
"421" 13 "valued"
"422" 13 "well"
"423" 13 "whole"
"424" 14 "absent"
"425" 14 "acknowledged"
"426" 14 "bear"
"427" 14 "best"
"428" 14 "bringing"
"429" 14 "character"
"430" 14 "choice"
"431" 14 "common"
"432" 14 "dear"
"433" 14 "difficult"
"434" 14 "disagreeable"
"435" 14 "done"
"436" 14 "dreadful"
"437" 14 "even"
"438" 14 "evil"
"439" 14 "excellent"
"440" 14 "fancied"
"441" 14 "feeling"
"442" 14 "first"
"443" 14 "forced"
"444" 14 "full"
"445" 14 "general"
"446" 14 "good"
"447" 14 "grateful"
"448" 14 "great"
"449" 14 "happy"
"450" 14 "having"
"451" 14 "horse"
"452" 14 "indifferent"
"453" 14 "it"
"454" 14 "lady"
"455" 14 "least"
"456" 14 "likely"
"457" 14 "little"
"458" 14 "make"
"459" 14 "morning"
"460" 14 "must"
"461" 14 "near"
"462" 14 "necessary"
"463" 14 "new"
"464" 14 "old"
"465" 14 "poor"
"466" 14 "present"
"467" 14 "promoting"
"468" 14 "proper"
"469" 14 "put"
"470" 14 "quiet"
"471" 14 "resolved"
"472" 14 "sad"
"473" 14 "seen"
"474" 14 "short"
"475" 14 "still"
"476" 14 "strong"
"477" 14 "tender"
"478" 14 "thinking"
"479" 14 "useful"
"480" 14 "well"
"481" 14 "whole"
"482" 14 "young"
"483" 15 "able"
"484" 15 "advantageous"
"485" 15 "agreeable"
"486" 15 "best"
"487" 15 "better"
"488" 15 "chief"
"489" 15 "choice"
"490" 15 "common"
"491" 15 "delighted"
"492" 15 "desirable"
"493" 15 "displeased"
"494" 15 "engaged"
"495" 15 "expedient"
"496" 15 "fellow"
"497" 15 "fixed"
"498" 15 "fond"
"499" 15 "forward"
"500" 15 "free"
"501" 15 "girl"
"502" 15 "glad"
"503" 15 "good"
"504" 15 "great"
"505" 15 "handsome"
"506" 15 "happy"
"507" 15 "having"
"508" 15 "hearty"
"509" 15 "it"
"510" 15 "kind"
"511" 15 "lady"
"512" 15 "large"
"513" 15 "least"
"514" 15 "leaving"
"515" 15 "living"
"516" 15 "marrying"
"517" 15 "near"
"518" 15 "out"
"519" 15 "pleasant"
"520" 15 "pleased"
"521" 15 "possible"
"522" 15 "present"
"523" 15 "pretty"
"524" 15 "right"
"525" 15 "seen"
"526" 15 "single"
"527" 15 "strong"
"528" 15 "stupid"
"529" 15 "tried"
"530" 15 "vain"
"531" 15 "well"
"532" 15 "young"
"533" 16 "accomplished"
"534" 16 "ashamed"
"535" 16 "best"
"536" 16 "clever"
"537" 16 "dear"
"538" 16 "feeling"
"539" 16 "fresh"
"540" 16 "girl"
"541" 16 "good"
"542" 16 "good-humoured"
"543" 16 "handsome"
"544" 16 "happy"
"545" 16 "it"
"546" 16 "little"
"547" 16 "make"
"548" 16 "marrying"
"549" 16 "must"
"550" 16 "nice"
"551" 16 "particular"
"552" 16 "right"
"553" 16 "seen"
"554" 16 "set"
"555" 16 "sure"
"556" 16 "tried"
"557" 16 "well"
"558" 16 "will"
"559" 16 "young"
"560" 17 "agreeable"
"561" 17 "attached"
"562" 17 "bad"
"563" 17 "best"
"564" 17 "better"
"565" 17 "called"
"566" 17 "charmed"
"567" 17 "child"
"568" 17 "choice"
"569" 17 "dear"
"570" 17 "delighted"
"571" 17 "done"
"572" 17 "engaged"
"573" 17 "evil"
"574" 17 "fair"
"575" 17 "fallen"
"576" 17 "feel"
"577" 17 "first"
"578" 17 "full"
"579" 17 "general"
"580" 17 "girl"
"581" 17 "good"
"582" 17 "great"
"583" 17 "handsome"
"584" 17 "human"
"585" 17 "it"
"586" 17 "lady"
"587" 17 "last"
"588" 17 "least"
"589" 17 "little"
"590" 17 "lively"
"591" 17 "make"
"592" 17 "making"
"593" 17 "mean"
"594" 17 "must"
"595" 17 "particular"
"596" 17 "pleased"
"597" 17 "poor"
"598" 17 "present"
"599" 17 "pretty"
"600" 17 "put"
"601" 17 "ready"
"602" 17 "safe"
"603" 17 "satisfied"
"604" 17 "second"
"605" 17 "still"
"606" 17 "sure"
"607" 17 "sweet"
"608" 17 "tall"
"609" 17 "well"
"610" 17 "will"
"611" 17 "young"
"612" 18 "able"
"613" 18 "acknowledged"
"614" 18 "agreeable"
"615" 18 "bad"
"616" 18 "best"
"617" 18 "called"
"618" 18 "close"
"619" 18 "contented"
"620" 18 "contrary"
"621" 18 "delighted"
"622" 18 "done"
"623" 18 "easy"
"624" 18 "even"
"625" 18 "excellent"
"626" 18 "fair"
"627" 18 "feel"
"628" 18 "fine"
"629" 18 "general"
"630" 18 "girl"
"631" 18 "good"
"632" 18 "great"
"633" 18 "having"
"634" 18 "horse"
"635" 18 "indolent"
"636" 18 "it"
"637" 18 "kind"
"638" 18 "large"
"639" 18 "likely"
"640" 18 "little"
"641" 18 "make"
"642" 18 "mean"
"643" 18 "mistaken"
"644" 18 "modest"
"645" 18 "must"
"646" 18 "new"
"647" 18 "out"
"648" 18 "plain"
"649" 18 "pleasant"
"650" 18 "possible"
"651" 18 "present"
"652" 18 "pretty"
"653" 18 "proper"
