"terms";"clusters"
"#-fair";71
"#-respected";4
"#-rich";43
"#-strong";41
"#-worth";13
"accustomed";38
"afraid";55
"aggressive";43
"amusing";20
"appropriate";46
"artistic";27
"avoided";28
"beautiful";45
"blessed";34
"bored";20
"brave";17
"calm";58
"capable";70
"careful";63
"cautious";58
"charitable";56
"cheerful";29
"clean";5
"clever";49
"comfortable";74
"compassionate";14
"competent";67
"complex";18
"confident";67
"conventional";68
"corrupted";62
"coward";41
"cruel";5
"curious";12
"dangerous";49
"daring";76
"defensive";30
"delicate";31
"delicious";66
"delighted";38
"delightful";70
"determined";42
"devout";76
"different";45
"direct";47
"diverse";35
"dramatic";76
"educational";28
"effective";75
"energetic";52
"entertaining";8
"enthusiastic";7
"exciting";4
"expensive";54
"extraordinary";48
"extreme";39
"fair";44
"faithful";16
"familiar";2
"famous";41
"fancy";73
"fascinating";37
"free";21
"friendly";24
"generous";29
"gentle";72
"genuine";51
"graceful";66
"greatest";61
"greedy";40
"happier";39
"harmless";50
"heavenly";53
"helpful";64
"holy";35
"honest";3
"humble";65
"imposing";53
"independent";72
"individual";8
"influential";32
"intellectual";7
"intelligent";68
"interesting";38
"intriguing";28
"irregular";71
"jest";10
"kindly";62
"knowing";28
"lead";71
"learned";56
"legal";19
"liberal";27
"loose";48
"loyal";18
"married";1
"mature";22
"mighty";22
"minded";36
"modest";46
"moral";6
"mysterious";6
"natural";44
"neat";19
"newer";13
"newest";43
"obliged";56
"official";2
"original";21
"passionate";69
"peaceful";16
"playful";26
"pleasant";45
"pleasing";43
"polite";25
"popular";58
"powerful";63
"preserved";71
"professional";24
"profitable";14
"proud";45
"qualified";11
"quiet";44
"reasonable";73
"religious";76
"relish";76
"respected";42
"responsible";60
"rich";21
"richest";58
"sacred";52
"safe";29
"safer";15
"scared";71
"scholar";28
"secure";10
"selfish";26
"shocked";76
"social";65
"special";74
"spiritual";34
"spontaneous";9
"stable";40
"subordinate";18
"superior";25
"surprising";23
"sympathetic";5
"thoughtful";69
"threatening";59
"tidy";75
"trustworthy";58
"uncertain";40
"unique";7
"united";33
"unpleasant";20
"unprecedented";7
"weak";57
"wealthy";7
"welcome";2
"wise";61
"top";47
"smart";14
"worth";55
"inspired";30
"sensual";28
"weaker";28
"universal";28
