"terms";"clusters"
"#-bright";122
"#-determined";100
"abrupt";40
"accessible";80
"accomplished";91
"accurate";109
"active";65
"adaptable";49
"affable";82
"affectionate";31
"affirmative";70
"aggressive";106
"agreeable";81
"aimless";95
"amiable";23
"amicable";36
"anxious";124
"appreciative";32
"artistic";104
"awkward";96
"beneficent";94
"benevolent";133
"bitter";44
"bland";51
"boisterous";141
"bold";65
"bountiful";5
"boyish";132
"brave";106
"breezy";38
"bright";20
"brisk";59
"calm";130
"candid";83
"capable";28
"capricious";110
"careful";67
"careless";126
"certain";20
"chaste";95
"cheerful";140
"childish";108
"chivalrous";93
"civil";79
"clever";72
"coarse";116
"cold";114
"combative";93
"communicative";98
"complicated";127
"complimentary";98
"conciliatory";83
"confident";61
"confused";87
"conscientious";39
"considerate";28
"consistent";53
"constant";80
"contemplative";52
"contented";133
"contradictory";72
"contrary";36
"conventional";47
"conversational";85
"cool";105
"cordial";80
"corrective";133
"courageous";43
"courtly";17
"critical";46
"cruel";60
"curious";6
"dainty";30
"deep";114
"defiant";124
"definite";50
"deliberate";70
"demonstrative";51
"despondent";106
"destructive";28
"determined";8
"devilish";134
"diplomatic";41
"direct";90
"dissatisfied";54
"distant";10
"doleful";36
"dreamy";53
"dull";112
"dutiful";104
"eager";82
"earnest";31
"earthy";63
"elegant";136
"eloquent";2
"enthusiastic";106
"envious";27
"exact";75
"exaggerative";141
"excitable";132
"exclusive";128
"expansive";72
"explosive";5
"expressive";68
"faithful";48
"fearful";91
"feminine";59
"fervent";36
"fierce";89
"fiery";111
"firm";131
"foolish";96
"forcible";5
"formal";122
"frank";139
"fraudulent";120
"friendly";71
"gallant";80
"generous";62
"genial";104
"genteel";92
"gentle";62
"gloomy";99
"graceful";113
"gracious";25
"greedy";119
"gruff";136
"hasty";97
"haughty";106
"hearty";119
"heedless";50
"honest";29
"hospitable";129
"humble";47
"humorous";126
"icy";116
"ignorant";52
"imaginative";52
"immovable";119
"impatient";137
"impertinent";28
"impish";136
"impressible";73
"impudent";134
"impulsive";118
"inconsiderate";64
"incorruptible";46
"indefatigable";54
"indefinite";36
"independent";103
"indifferent";56
"indirect";111
"indulgent";9
"industrious";83
"ingenious";17
"inquisitive";77
"insolent";79
"intense";107
"invincible";118
"irrational";139
"irrepressible";58
"jealous";51
"judicious";51
"just";40
"kind";125
"knavish";93
"lavish";91
"lazy";11
"leisurely";132
"lenient";16
"literal";53
"live";40
"lively";15
"loud";124
"loyal";93
"malicious";121
"masculine";133
"maternal";2
"meditative";98
"methodical";9
"mild";70
"mischievous";84
"miserly";74
"moderate";35
"modest";105
"moody";40
"moral";92
"murderous";19
"musical";43
"narrow";7
"natural";26
"negative";2
"nervous";4
"noisy";78
"obliging";46
"observant";119
"obtrusive";51
"orderly";114
"original";33
"particular";117
"passionate";21
"passive";36
"patient";88
"peaceful";34
"pensive";95
"persuasive";119
"philanthropic";138
"pious";120
"pleasant";140
"polished";134
"polite";135
"precise";3
"prejudiced";27
"productive";42
"profound";115
"progressive";66
"prompt";124
"proper";9
"proud";7
"prudent";129
"punctual";133
"quick";45
"quiet";26
"reasonable";106
"reflective";134
"reproachful";95
"respectful";12
"responsible";13
"restless";10
"retiring";38
"revengeful";74
"rigid";103
"rough";101
"sarcastic";9
"sedate";111
"sensitive";54
"serene";51
"serious";55
"servile";74
"severe";74
"shallow";73
"shrewd";116
"shy";124
"silent";102
"slovenly";80
"slow";63
"smart";9
"social";125
"solemn";123
"sparkling";51
"sportsmanlike";38
"sprightly";111
"stable";124
"steady";22
"stern";80
"stormy";70
"strict";73
"studious";133
"sunny";69
"superficial";124
"sympathetic";75
"tender";1
"tight";51
"transparent";79
"trustworthy";14
"undiscriminating";122
"ungenerous";110
"unkind";16
"unladylike";46
"unreasonable";24
"unsuspicious";14
"unsympathetic";120
"vague";115
"vindictive";116
"violent";87
"warm";26
"wild";101
"thoughtful";80
"wise";102
"sincere";76
"whimsical";86
"womanly";106
"submissive";37
"venturesome";57
"vivacious";127
"vigorous";42
"selfish";41
"unchanging";132
"spontaneous";134
"suspicious";57
"rugged";28
"timid";111
"vocal";18
"unobservant";72
"ingenuous";136
"vain";14
