"terms";"clusters"
"#-cruel";125
"#-determined";109
"#-obtrusive";27
"#-serious";28
"#-unkind";46
"abrupt";44
"accomplished";84
"accurate";58
"active";68
"affected";10
"affectionate";52
"agreeable";34
"alert";48
"ambitious";126
"amiable";110
"animated";119
"anxious";118
"arbitrary";85
"assured";37
"audacious";73
"authoritative";130
"awkward";77
"benevolent";81
"biased";119
"bitter";120
"blunt";65
"bold";26
"bright";9
"brisk";58
"calm";90
"candid";63
"capable";6
"careful";106
"careless";74
"cautious";99
"ceremonious";14
"certain";123
"charitable";28
"chatty";114
"cheerful";4
"civil";41
"clever";62
"coarse";56
"cold";17
"communicative";39
"compassionate";79
"complimentary";124
"concise";84
"confident";50
"confused";11
"conscientious";5
"considerate";81
"consistent";38
"constant";62
"contented";71
"contradictory";95
"contrary";54
"cool";63
"cordial";75
"courteous";113
"critical";71
"cruel";39
"curious";117
"decisive";57
"deep";112
"demure";82
"dependent";66
"detached";67
"determined";17
"dictatorial";24
"dignified";47
"direct";86
"discerning";31
"disrespectful";12
"dissatisfied";14
"distant";8
"dull";38
"durable";59
"dutiful";20
"eager";21
"earnest";36
"economical";78
"elegant";55
"eloquent";89
"enlightened";101
"exact";19
"excessive";41
"explicit";10
"expressive";79
"extravagant";125
"faithful";95
"fanciful";108
"fearful";88
"fearless";65
"feminine";129
"fervent";11
"foolish";76
"forgetful";61
"formal";96
"forward";73
"frank";80
"fraternal";65
"friendly";17
"gallant";114
"generous";1
"genteel";103
"gentle";4
"gentlemanlike";131
"girlish";73
"gloomy";42
"graceful";99
"gracious";102
"harsh";16
"hasty";15
"hearty";75
"hectic";85
"heedless";124
"honest";127
"humble";41
"humorous";73
"ignorant";38
"impartial";30
"impatient";41
"impertinent";42
"imprudent";56
"impudent";26
"inarticulate";46
"inconsiderate";50
"inconsistent";109
"inconstant";24
"indefatigable";53
"indefinite";65
"independent";52
"indifferent";40
"indulgent";70
"industrious";105
"inexperienced";116
"injudicious";45
"intellectual";71
"intelligent";44
"intense";85
"intimate";29
"invariable";107
"irrational";24
"jealous";122
"judicious";126
"just";19
"kind";93
"languid";103
"lazy";10
"literary";43
"lively";6
"loud";70
"loyal";61
"manly";104
"maternal";64
"mercenary";126
"merciful";78
"merry";101
"methodical";103
"mild";22
"moderate";42
"modest";55
"moral";32
"musical";84
"narrow";129
"natural";34
"negative";121
"negligent";92
"nervous";3
"noisy";8
"obliging";60
"orderly";71
"original";120
"overbearing";56
"particular";123
"passive";69
"persuasive";24
"pert";26
"philanthropic";33
"placid";75
"playful";49
"pleasant";34
"polite";80
"practical";43
"precise";107
"prejudiced";72
"principled";89
"proper";93
"proud";13
"prudent";43
"punctual";115
"quick";55
"quiet";18
"rational";49
"reasonable";83
"religious";2
"reproachful";125
"resentful";39
"respectful";98
"restless";69
"rough";42
"rude";59
"sarcastic";14
"scrupulous";51
"selfish";91
"serious";93
"severe";115
"shy";54
"silent";21
"simple";111
"sincere";91
"slovenly";99
"slow";64
"sly";106
"sociable";60
"social";119
"solemn";38
"speedy";3
"spirited";65
"spiritless";97
"spontaneous";60
"stable";128
"steady";4
"strict";94
"sympathetic";88
"tame";106
"tender";22
"thorough";87
"thoughtful";29
"thoughtless";5
"timid";1
"treacherous";79
"unaffected";72
"unalterable";33
"unbending";35
"unceremonious";104
"unchanging";28
"unfeeling";48
"unfriendly";79
"ungenerous";94
"unkind";64
"unobservant";24
"unreasonable";25
"unreserved";100
"unsophisticated";65
"unsuspicious";117
"vain";127
"warm";6
"unapproachable";84
"tenacious";66
"tyrannical";73
"unproductive";124
"violent";73
"worldly";51
"worrying";50
"suspicious";12
"talkative";105
"uninformed";101
"solicitous";119
"submissive";23
"ungracious";97
"wild";7
"tough";48
"quarrelsome";85
"smart";125
"unguarded";131
"unwise";116
"zealous";116
"unagreeable";102
"womanly";125
"wasteful";130
"pompous";102
"untaught";60
"unvarying";58
"tidy";85
"wise";101
"studious";107
