"source" "target" "tag"
5 31 "cold"
59 73 "gentle"
55 85 "severe"
62 93 "wild"
50 100 "affectionate"
128 130 "distant"
61 155 "impatient"
82 171 "silent"
73 172 "gentle"
172 181 "gentle"
11 203 "calm"
171 204 "silent"
93 219 "wild"
198 238 "intimate"
33 239 "proud"
173 248 "deep"
173 263 "constant"
40 264 "pleasant"
262 269 "benevolent"
248 271 "deep"
269 275 "benevolent"
203 284 "expressive"
73 311 "intense"
203 312 "calm"
304 331 "childish"
232 335 "gallant"
335 340 "adventurous"
31 351 "practical"
219 355 "wild"
8 356 "fervent"
311 357 "intense"
343 359 "natural"
351 360 "practical"
331 370 "violent"
370 374 "violent"
359 382 "natural"
382 386 "natural"
85 397 "severe"
294 414 "rude"
341 431 "narrow"
73 436 "feminine"
174 438 "amiable"
386 450 "natural"
450 452 "natural"
452 463 "natural"
463 467 "natural"
467 469 "natural"
469 494 "natural"
235 499 "indefatigable"
494 505 "natural"
505 507 "natural"
507 511 "natural"
331 517 "eager"
76 524 "moderate"
511 525 "natural"
104 528 "bold"
525 529 "natural"
529 532 "natural"
311 543 "capable"
543 566 "lifeless"
566 571 "lifeless"
312 585 "calm"
336 585 "peaceful"
539 587 "simple"
151 594 "slow"
571 597 "lifeless"
31 612 "cold"
543 620 "capable"
264 623 "pleasant"
212 625 "quick"
585 636 "calm"
263 639 "constant"
625 647 "quick"
612 652 "cold"
597 670 "lifeless"
594 671 "nervous"
594 678 "slow"
620 679 "capable"
674 682 "kind"
639 695 "constant"
681 703 "cheerful"
275 704 "benevolent"
130 708 "distant"
682 713 "kind"
334 721 "moral"
126 729 "anxious"
652 741 "cold"
181 743 "gentle"
338 764 "rough"
532 765 "natural"
374 765 "violent"
671 766 "nervous"
678 774 "slow"
647 776 "quick"
704 779 "benevolent"
284 783 "expressive"
765 787 "natural"
787 803 "natural"
703 804 "cheerful"
636 809 "serene"
440 811 "invincible"
774 818 "cruel"
743 823 "gentle"
809 826 "serene"
795 826 "warm"
271 833 "active"
315 835 "earnest"
818 846 "cruel"
341 861 "bright"
823 867 "gentle"
636 879 "calm"
712 879 "placid"
879 880 "calm"
861 882 "bright"
879 886 "placid"
826 897 "serene"
8 903 "vivid"
765 905 "violent"
9 919 "vain"
741 927 "cold"
766 935 "nervous"
679 939 "capable"
204 940 "silent"
919 952 "vain"
659 954 "unrestrained"
438 964 "amiable"
939 964 "capable"
82 978 "ignorant"
331 988 "childish"
78 999 "generous"
713 999 "kind"
880 1009 "calm"
967 1018 "confused"
905 1020 "violent"
587 1027 "simple"
964 1049 "amiable"
779 1049 "benevolent"
100 1051 "affectionate"
999 1054 "generous"
1027 1054 "simple"
876 1068 "decisive"
496 1078 "mild"
341 1083 "gloomy"
964 1102 "capable"
1118 1123 "bitter"
271 1123 "deep"
999 1126 "kind"
1123 1140 "bitter"
336 1144 "saintly"
91 1145 "passionate"
927 1146 "cold"
779 1146 "harsh"
1123 1149 "deep"
952 1155 "vain"
776 1156 "quick"
1049 1161 "benevolent"
357 1162 "intense"
1149 1164 "deep"
897 1165 "serene"
41 1168 "excessive"
40 1172 "agreeable"
1146 1177 "harsh"
940 1177 "silent"
325 1178 "heroic"
496 1204 "certain"
67 1229 "rugged"
774 1252 "slow"
1177 1253 "silent"
1102 1254 "capable"
659 1272 "loud"
431 1292 "narrow"
1146 1295 "cold"
1140 1298 "bitter"
783 1299 "expressive"
1078 1315 "mild"
1009 1319 "calm"
779 1325 "docile"
1315 1325 "mild"
803 1325 "natural"
1161 1329 "benevolent"
1329 1337 "benevolent"
1295 1376 "cold"
1018 1378 "confused"
1376 1388 "cold"
867 1391 "gentle"
